,Factors,Importance
0,Year,0.012040241802640812
1,State,0.015574039519669377
2,HC01_VC21,0.03440298965452691
3,HC01_VC53,0.029006014199500257
4,HC01_VC54,0.03261534440123682
5,HC01_VC55,0.03258710847926735
6,HC01_VC56,0.02748743218609418
7,HC01_VC57,0.03913609754737091
8,HC01_VC161,0.08040048529874531
9,HC01_VC172,0.04635728193674739
10,HC01_VC175,0.02213987257416722
11,HC01_VC176,0.0173748640032431
12,HC01_VC178,0.038087241016847115
13,HC01_VC185,0.11790191887660391
14,HC01_VC187,0.04454108979394037
15,HC01_VC193,0.03900037598265211
16,HC01_VC196,0.021078088537081482
17,HC01_VC198,0.027228558337289547
18,HC01_VC203,0.03141557489093889
19,HC01_VC204,0.036747032795249254
20,HC01_VC206,0.006415440015538394
21,HC01_VC208,0.21201053019871505
22,HC01_VC209,0.03645237795193406
